Date,Open,High,Low,Close,Volume
2024-01-01,1013.06,1012.49,1005.69,1008.75,662621
2024-01-02,1011.39,1015.58,995.89,1007.97,484073
2024-01-03,1019.41,1026.34,1013.92,1019.07,836265
2024-01-04,1049.13,1043.94,1043.59,1043.68,713859
2024-01-05,1037.6,1042.46,1032.81,1041.37,220263
2024-01-08,1037.81,1044.73,1036.11,1039.07,649523
2024-01-09,1061.29,1065.09,1056.44,1065.03,100159
2024-01-10,1082.05,1081.6,1076.28,1078.68,767505
2024-01-11,1069.98,1077.73,1070.32,1072.48,262993
2024-01-12,1081.86,1086.29,1080.32,1082.6,467003
2024-01-15,1079.15,1078.33,1075.89,1076.49,247309
2024-01-16,1073.35,1081.82,1067.14,1070.37,207507
2024-01-17,1071.74,1083.66,1073.17,1075.64,114743
2024-01-18,1050.59,1046.71,1039.7,1046.17,852462
2024-01-19,1022.32,1026.03,1015.11,1020.46,146101
2024-01-22,1008.8,1017.06,1008.51,1013.18,342717
2024-01-23,993.8,1000.4,980.49,999.11,745822
2024-01-24,1005.05,1015.42,1003.02,1005.11,446371
2024-01-25,996.11,998.61,977.28,992.73,330604
2024-01-26,976.4,977.45,970.58,972.99,287450
2024-01-29,997.06,995.72,995.15,995.65,826481
2024-01-30,993.76,998.79,991.34,993.57,436907
2024-01-31,997.91,997.05,986.85,995.87,587030
2024-02-01,972.54,978.67,966.27,975.88,859710
2024-02-02,975.72,979.24,965.69,969.18,505453
2024-02-05,978.56,979.29,965.44,972.05,771009
2024-02-06,958.17,968.4,949.2,956.53,268785
2024-02-07,963.93,974.41,954.22,963.17,304535
2024-02-08,954.17,963.77,948.59,955.74,800769
2024-02-09,954.82,954.11,952.08,952.8,279838
2024-02-12,942.83,948.75,941.19,945.44,670442
2024-02-13,964.28,974.46,968.75,972.94,369160
2024-02-14,963.43,974.42,964.32,974.01,572779
2024-02-15,956.75,965.71,950.95,959.82,541904
2024-02-16,973.52,980.43,964.82,972.91,678526
2024-02-19,957.63,959.02,948.07,956.36,420752
2024-02-20,958.73,963.82,945.55,960.6,713369
2024-02-21,934.14,942.04,931.49,933.61,347644
2024-02-22,915.22,919.02,915.63,916.22,299775
2024-02-23,916.44,926.97,916.06,920.12,162551
2024-02-26,931.31,932.53,930.39,931.51,834983
2024-02-27,938.15,937.09,930.36,935.11,777800
2024-02-28,931.14,937.69,926.06,934.71,266277
2024-02-29,928.15,935.59,921.61,931.7,180811
2024-03-01,908.35,915.07,908.49,912.25,879128
2024-03-04,896.58,906.16,902.09,903.58,564028
2024-03-05,896.79,901.61,891.37,898.51,468266
2024-03-06,916.54,917.66,908.05,913.93,334104
2024-03-07,920.47,923.93,914.05,919.83,643296
2024-03-08,896.09,898.01,895.11,896.7,302346
2024-03-11,902.69,906.66,902.13,902.22,656690
2024-03-12,896.43,907.39,897.68,898.19,284456
2024-03-13,883.3,892.91,881.59,890.23,884282
2024-03-14,902.38,909.85,891.21,899.56,499009
2024-03-15,918.56,917.67,910.43,914.64,596043
2024-03-18,925.9,930.25,924.37,928.61,236643
2024-03-19,917.57,922.02,917.29,918.12,590083
2024-03-20,914.19,927.18,909.59,915.06,213550
2024-03-21,922.09,931.83,917.53,920.79,584146
2024-03-22,941.79,944.33,924.51,935.47,191218
2024-03-25,934.27,936.71,925.01,929.96,233296
2024-03-26,927.18,937.57,926.21,928.58,599909
2024-03-27,916.36,918.47,902.36,914.37,618767
2024-03-28,903.67,899.45,892.36,899.16,279767
2024-03-29,912.77,912.61,904.2,911.28,491858
2024-04-01,930.99,939.56,922.56,931.01,865348
2024-04-02,932.87,941.65,922.07,931.21,340016
2024-04-03,943.78,950.78,939.59,946.44,132441
2024-04-04,950.68,958.04,944.26,952.81,338038
2024-04-05,940.8,951.0,943.82,944.82,794489
2024-04-08,952.34,960.91,948.5,951.17,855612
2024-04-09,973.84,974.54,963.88,974.35,716410
2024-04-10,971.89,979.94,974.08,975.1,144760
2024-04-11,998.59,1005.31,992.72,999.25,385622
2024-04-12,963.09,964.15,958.3,961.28,447860
2024-04-15,981.85,976.65,974.12,974.38,767540
2024-04-16,980.88,980.78,969.67,976.92,198538
2024-04-17,964.91,979.12,970.13,973.81,639660
2024-04-18,977.35,986.04,975.3,976.42,611511
2024-04-19,954.0,948.8,943.48,948.58,321035
2024-04-22,941.62,947.18,941.68,946.68,482736
2024-04-23,955.09,958.4,943.75,952.99,455779
2024-04-24,974.43,979.91,963.81,975.35,735310
2024-04-25,973.49,981.81,967.8,969.04,678328
2024-04-26,960.09,958.86,958.15,958.54,826728
2024-04-29,949.21,966.9,950.29,952.58,702644
2024-04-30,966.12,972.8,966.03,966.89,378355
2024-05-01,972.37,990.29,963.14,972.92,467570
2024-05-02,965.98,974.65,963.97,966.45,367986
2024-05-03,979.52,977.92,962.93,975.15,556331
2024-05-06,974.54,978.0,973.54,977.84,487881
2024-05-07,997.3,994.12,990.3,993.32,408112
2024-05-08,982.96,994.22,980.6,984.15,253077
2024-05-09,981.47,983.63,975.82,980.59,154575
2024-05-10,976.38,983.02,973.41,976.1,573958
2024-05-13,955.85,957.99,952.53,955.94,774331
2024-05-14,961.37,962.07,960.83,961.43,518815
2024-05-15,972.07,968.33,966.29,966.44,580808
2024-05-16,971.03,970.13,963.89,967.77,691202
2024-05-17,964.22,974.04,962.63,965.62,873422
2024-05-20,952.37,951.0,944.26,946.38,691343
2024-05-21,942.67,950.12,938.77,941.64,711985
2024-05-22,939.36,939.53,936.91,938.02,730527
2024-05-23,924.84,930.4,926.51,927.95,335469
2024-05-24,925.07,930.49,925.91,926.91,223106
2024-05-27,931.16,942.5,929.52,933.74,891787
2024-05-28,961.7,968.32,956.53,961.37,567835
2024-05-29,967.6,969.03,954.62,965.14,400486
2024-05-30,971.54,973.78,964.36,970.12,102257
2024-05-31,976.46,971.36,967.73,970.3,389508
2024-06-03,940.28,945.5,934.5,943.63,780332
2024-06-04,944.92,947.15,939.21,944.48,211715
2024-06-05,941.71,948.85,944.66,946.56,126654
2024-06-06,979.14,985.3,981.55,982.77,836129
2024-06-07,986.17,984.0,977.65,981.21,443567
2024-06-10,985.1,992.56,984.99,986.92,391464
2024-06-11,984.52,993.94,980.44,987.69,645096
2024-06-12,963.38,975.92,967.62,971.66,676677
2024-06-13,986.36,998.98,988.92,989.58,588906
2024-06-14,1001.21,1010.54,997.41,1002.03,218581
2024-06-17,1009.71,1020.07,1010.41,1015.22,227927
2024-06-18,1001.64,1006.67,1000.34,1002.69,134773
2024-06-19,1030.31,1028.02,1016.06,1025.1,806528
2024-06-20,1002.03,1012.83,999.45,1004.87,520963
2024-06-21,1011.2,1016.3,1006.86,1015.03,438540
2024-06-24,1044.98,1055.66,1042.36,1049.7,601590
2024-06-25,1030.73,1045.13,1027.15,1035.46,469836
2024-06-26,1030.22,1045.19,1018.23,1028.01,314764
2024-06-27,1031.09,1031.89,1018.4,1030.89,681793
2024-06-28,1028.36,1029.21,1017.86,1024.44,642423
2024-07-01,1010.04,1004.78,988.65,1001.95,715175
2024-07-02,996.93,1013.5,997.58,1004.28,222118
2024-07-03,991.09,995.75,976.81,989.58,409521
2024-07-04,993.43,1002.08,987.31,997.9,254626
2024-07-05,988.54,990.79,985.19,985.43,345739
2024-07-08,1008.53,1013.99,1008.22,1009.62,578356
2024-07-09,999.18,999.54,996.37,999.07,379067
2024-07-10,990.44,1004.42,989.28,995.55,409735
2024-07-11,1007.27,1009.21,1008.97,1008.99,686549
2024-07-12,992.03,994.23,982.03,991.67,416480
2024-07-15,1001.75,1002.96,992.62,996.34,436227
2024-07-16,1013.94,1018.25,1016.82,1017.18,685236
2024-07-17,991.78,1001.96,993.44,993.97,340891
2024-07-18,1001.79,998.91,990.94,998.02,264074
2024-07-19,999.76,1009.59,1002.3,1003.2,573314
2024-07-22,1020.92,1023.09,1006.31,1016.27,609452
2024-07-23,998.7,1006.9,992.61,998.74,388816
2024-07-24,981.44,991.5,967.4,980.25,890645
2024-07-25,990.66,992.57,984.13,989.2,241365
2024-07-26,992.44,1001.64,989.05,994.9,549076
2024-07-29,1001.49,1013.47,992.02,999.93,162507
2024-07-30,1003.31,1009.89,1005.9,1006.42,157134
2024-07-31,995.46,1003.97,991.98,997.47,233172
2024-08-01,1004.48,1004.61,1001.28,1002.24,341225
2024-08-02,1009.13,1017.93,1000.77,1007.95,293069
2024-08-05,998.16,1002.66,989.29,998.46,873221
2024-08-06,1022.52,1029.15,1027.1,1027.7,660897
2024-08-07,1032.16,1047.64,1027.57,1036.34,274037
2024-08-08,1020.3,1028.55,1016.31,1019.17,763376
2024-08-09,1033.55,1047.82,1027.89,1030.53,532995
2024-08-12,1012.29,1026.51,1013.99,1016.8,596013
2024-08-13,1026.67,1030.24,1015.62,1030.13,394025
2024-08-14,1049.93,1051.25,1046.08,1049.37,837954
2024-08-15,1038.28,1042.27,1036.53,1037.82,600098
2024-08-16,1047.32,1054.86,1038.63,1054.16,807173
2024-08-19,1062.75,1063.23,1055.82,1062.06,855728
2024-08-20,1073.96,1079.86,1074.9,1076.54,357803
2024-08-21,1115.84,1110.52,1105.38,1108.57,791381
2024-08-22,1107.03,1115.32,1103.83,1105.93,416275
2024-08-23,1096.71,1095.68,1094.42,1094.86,779447
2024-08-26,1083.61,1083.34,1081.08,1081.68,112828
2024-08-27,1064.65,1076.42,1061.41,1069.85,616835
2024-08-28,1078.32,1080.42,1066.53,1070.0,756761
2024-08-29,1069.87,1079.07,1073.55,1076.87,323461
2024-08-30,1086.18,1082.9,1076.57,1082.73,538080
2024-09-02,1100.29,1106.87,1093.22,1097.58,513523
2024-09-03,1097.12,1110.49,1093.79,1099.22,464662
2024-09-04,1127.61,1131.43,1123.6,1124.61,381755
2024-09-05,1120.19,1128.09,1118.5,1121.61,799151
2024-09-06,1165.67,1170.04,1160.75,1168.83,438384
2024-09-09,1181.2,1191.13,1171.9,1178.98,339719
2024-09-10,1158.32,1166.08,1162.52,1163.0,832763
2024-09-11,1142.48,1152.08,1126.04,1143.5,889177
2024-09-12,1148.24,1153.88,1148.13,1150.98,366010
2024-09-13,1144.78,1148.21,1142.33,1146.32,787605
2024-09-16,1159.79,1165.14,1149.73,1157.79,537940
2024-09-17,1162.43,1169.42,1161.96,1165.2,695642
2024-09-18,1162.22,1164.9,1155.56,1163.11,151374
2024-09-19,1145.21,1156.91,1146.31,1147.52,214397
2024-09-20,1127.12,1125.82,1118.86,1120.64,348552
2024-09-23,1113.88,1114.56,1101.55,1112.35,486721
2024-09-24,1126.86,1131.74,1123.33,1125.86,523332
2024-09-25,1131.78,1132.26,1121.45,1128.69,392575
2024-09-26,1104.18,1108.55,1100.75,1106.81,511124
2024-09-27,1112.72,1118.88,1106.01,1108.91,129336
2024-09-30,1116.09,1122.16,1108.58,1114.54,155350
2024-10-01,1092.13,1102.01,1095.12,1098.99,693849
2024-10-02,1094.47,1107.94,1096.26,1100.75,610470
2024-10-03,1098.42,1108.77,1099.33,1100.94,161240
2024-10-04,1075.58,1085.64,1073.98,1081.3,775453
2024-10-07,1085.31,1092.53,1083.43,1086.34,499371
2024-10-08,1090.28,1097.09,1090.87,1094.72,670895
2024-10-09,1111.31,1114.11,1111.2,1111.74,811028
2024-10-10,1134.91,1130.28,1121.13,1128.53,281196
2024-10-11,1104.21,1106.31,1095.73,1104.42,415014
2024-10-14,1086.8,1088.37,1087.17,1088.11,549763
2024-10-15,1097.46,1104.53,1088.77,1095.76,688398
2024-10-16,1100.36,1104.24,1098.54,1103.44,284626
2024-10-17,1114.94,1126.38,1107.46,1111.19,776296
2024-10-18,1176.95,1194.25,1166.24,1174.63,479039
2024-10-21,1184.05,1190.04,1178.65,1183.86,628714
2024-10-22,1203.94,1210.83,1193.44,1203.2,844199
2024-10-23,1229.54,1229.52,1214.7,1219.58,541048
